InputSize, Comp(ISort), Comp(QSort)
679, 131181, 9158
680, 130981, 8671
681, 133217, 9071
682, 129954, 9046
683, 128050, 9261
684, 134504, 9527
685, 133916, 9247
686, 129714, 9086
687, 134690, 9465
688, 145230, 10294
689, 128292, 9841
690, 135715, 8919
691, 136311, 9002
692, 133410, 9020
693, 140466, 9029
694, 138769, 9146
695, 141380, 9171
696, 141130, 9266
697, 143608, 9322
698, 136987, 8779
699, 140385, 8859
700, 139862, 9916
701, 147324, 10005
702, 141006, 8973
703, 145028, 9230
704, 142112, 9193
705, 142734, 10912
706, 140730, 9086
707, 142226, 9596
708, 139877, 9230
709, 145740, 9923
710, 144808, 9347
711, 151282, 9304
712, 148288, 9312
713, 147019, 9143
714, 150683, 10588
715, 153982, 11336
716, 150797, 9288
717, 153430, 9345
718, 152870, 9498
719, 151318, 8988
720, 151507, 9874
721, 153670, 9286
722, 148776, 9745
723, 155014, 9802
724, 153234, 10576
725, 152104, 9787
726, 144850, 10190
727, 152154, 9979
728, 150150, 9711
729, 149373, 9905
730, 147768, 10176
731, 154043, 9594
732, 153197, 9955
733, 159894, 9796
734, 157105, 9575
735, 153050, 10898
736, 158736, 10084
737, 157769, 9661
738, 154058, 9814
739, 160853, 9977
740, 152876, 10262
741, 157857, 9593
742, 154735, 10040
743, 163880, 9877
744, 155918, 11268
745, 155246, 11258
746, 163005, 10332
747, 161971, 10247
748, 163821, 10497
749, 163865, 10126
750, 163455, 10979
751, 164141, 11614
752, 155650, 9641
753, 157829, 9499
754, 165756, 10885
755, 160840, 10382
756, 164946, 10617
757, 166487, 10495
758, 160753, 10928
759, 164025, 9960
760, 166834, 10402
761, 165612, 10757
762, 166989, 11176
763, 170425, 11007
764, 171589, 10307
765, 168884, 10555
766, 168997, 10156
767, 166544, 10735
768, 168819, 10854
769, 172121, 10242
770, 175319, 10681
771, 169027, 10353
772, 168880, 10412
773, 175908, 10807
774, 174978, 10268
775, 171211, 10226
776, 177351, 9919
777, 171937, 11237
778, 178503, 10661
779, 167365, 10495
780, 174401, 10575
781, 171993, 11828
782, 174144, 11152
783, 177875, 11972
784, 168142, 10924
785, 174652, 11505
786, 180311, 11005
787, 180658, 10485
788, 179707, 10773
789, 179780, 10249
790, 178121, 10891
791, 178666, 10962
792, 177452, 10316
793, 176017, 10307
794, 187010, 10513
795, 176927, 11337
796, 186955, 10629
797, 178872, 10331
798, 181896, 10602
799, 180479, 10270
800, 178567, 10920
801, 187540, 10888
802, 184440, 10563
803, 189744, 10777
804, 192760, 10860
805, 188318, 10916
806, 183814, 10458
807, 188331, 11949
808, 186804, 10931
809, 191995, 11071
810, 177368, 10985
811, 188120, 11069
812, 185333, 10619
813, 187641, 11079
814, 185461, 11548
815, 198780, 11635
816, 197307, 11419
817, 196912, 11833
818, 194759, 11565
819, 194997, 10601
820, 191282, 10983
821, 192660, 10818
822, 190845, 10945
823, 193347, 10689
824, 189574, 12219
825, 193813, 13057
826, 198158, 11489
827, 200938, 11256
828, 200815, 12252
829, 195877, 10759
830, 200047, 11539
831, 197312, 11713
832, 200217, 13095
833, 199723, 11461
834, 197485, 11876
835, 201112, 11512
836, 207270, 11603
837, 201663, 10569
838, 200469, 11790
839, 198885, 12472
840, 212068, 10785
841, 204182, 12778
842, 204088, 11603
843, 202771, 11441
844, 208087, 12098
845, 216525, 11672
846, 206569, 10700
847, 201096, 11294
848, 205844, 11817
849, 206127, 12559
850, 207423, 11140
851, 218644, 11811
852, 209944, 12202
853, 206725, 12751
854, 197991, 11857
855, 209687, 11671
856, 205928, 11694
857, 214856, 12786
858, 217093, 11268
859, 213811, 11271
860, 214946, 11823
861, 221060, 12450
862, 212710, 11157
863, 207003, 11878
864, 214949, 11635
865, 209989, 11345
866, 218678, 12273
867, 215927, 12426
868, 216916, 11601
869, 213240, 12297
870, 225954, 11672
871, 213604, 11403
872, 219404, 13819
873, 224615, 13102
874, 222475, 12023
875, 217919, 13314
876, 217751, 11855
877, 223399, 12293
878, 225984, 11944
879, 221340, 11612
880, 220969, 12232
881, 216641, 11942
882, 219071, 12685
883, 226103, 11461
884, 226968, 14653
885, 222382, 12399
886, 224293, 12487
887, 222719, 11783
888, 227454, 13292
889, 228789, 12047
890, 225971, 11782
891, 235685, 11913
892, 226076, 13143
893, 225499, 12185
894, 233132, 13849
895, 226650, 12033
896, 238647, 12927
897, 236471, 12583
898, 231997, 12717
899, 227055, 11654
900, 227066, 13019
901, 228775, 12581
902, 236653, 12904
903, 230612, 12038
904, 236894, 12300
905, 230682, 12674
906, 237233, 13732
907, 241668, 12704
908, 230570, 12623
909, 240185, 12279
910, 243689, 12567
911, 237859, 12283
912, 244664, 13126
913, 239932, 12219
914, 244220, 12595
915, 247167, 13182
916, 238245, 13068
917, 240555, 12291
918, 240298, 12214
919, 245774, 13432
920, 253977, 13519
921, 247189, 12609
922, 241764, 12929
923, 255403, 12676
924, 247303, 12828
925, 246607, 13430
926, 250218, 13277
927, 243051, 13723
928, 249422, 13041
929, 242379, 12244
930, 255995, 12544
931, 256136, 12146
932, 246869, 13089
933, 243717, 13451
934, 253371, 12161
935, 248122, 13139
936, 247543, 13519
937, 253118, 12746
938, 253137, 13438
939, 255938, 12888
940, 252475, 13485
941, 252673, 12802
942, 256348, 13118
943, 256026, 12719
944, 256493, 12813
945, 255145, 12463
946, 259018, 13612
947, 256354, 12627
948, 262410, 13405
949, 252431, 12682
950, 264171, 14352
951, 267153, 12914
952, 253288, 12734
953, 277441, 12939
954, 262571, 13273
955, 264840, 13041
956, 253762, 12545
957, 273906, 14210
958, 251835, 13821
959, 268340, 14407
960, 263966, 14425
961, 264447, 13129
962, 263945, 14593
963, 266472, 14070
964, 266002, 13519
965, 262414, 14617
966, 265688, 13070
967, 267430, 13520
968, 275682, 13572
969, 265544, 13516
970, 268697, 13503
971, 272402, 14641
972, 277431, 15021
973, 277456, 14228
974, 281052, 13928
975, 277806, 14477
976, 274236, 14580
977, 271746, 13679
978, 279463, 15571
979, 271479, 14000
980, 280260, 13638
981, 271950, 13288
982, 265831, 14894
983, 271611, 13715
984, 279693, 14066
985, 289271, 13523
986, 278973, 14398
987, 279661, 13621
988, 279112, 14266
989, 291173, 14611
990, 281980, 13799
991, 285000, 14064
992, 279240, 14653
993, 286194, 13405
994, 283175, 13397
995, 288024, 15597
996, 282785, 13948
997, 281418, 14967
998, 288296, 14237
999, 287394, 13383
1000, 276750, 14044
